username,balance_ETH1_ETH,balance_ETH2_ETH
XwnHBwqa,18584,40147
asrbcxER,58276,14648
OFLMCiLd,86415,5380
yhOLdxFx,52216,44126
YzVTiozW,44787,19998
PDwuRZPp,67910,70070
uqOvBtYf,34372,2968
dlDVuhQf,53684,63343
UgXTCqOT,42657,3835
xCMypPeA,48611,57458
diXwpbzy,16408,23809
LZROBaOf,51784,36872
EakyQEBq,25752,12818
jroZnwuD,73682,55759
ifxZdTFs,38847,45604
ndOGVmjp,32881,69419
lBUAHEwm,70112,45592
OhaBVOnH,39968,49855
XYffkitq,41692,3570
OydKtYwm,30514,61137
eaXIXzcu,68627,78056
wcMNDegN,85397,4997
MggsDoaV,33381,22562
lRkzgHJo,35989,68171
DNMwkMTk,26545,84880
CFmvapDV,18511,55302
kCYOjAoN,79369,47675
vPPcDrDW,35629,5037
Uwswwkbt,86502,72137
IJppgTlx,33762,38473
vqXJbYZx,19909,11077
JIYSjnQd,24186,84567
ocFymsmb,54012,36362
mOHbAYNW,17310,40013
aQutjkbh,74487,37923
EYXyxhJb,57027,50476
iBhgSqXR,50735,35284
GHlPYuFH,71682,13492
sMyCdMbZ,19826,49881
naDkTWjV,20599,49553
PAuHQiBt,9168,75412
fjLarvQx,11660,17017
ERHlXnDW,88095,62426
oCUpCZsD,63975,23530
AeDXMTOy,58263,58492
bOMEeYev,80366,12352
LdPqHvhF,51487,48599
QzNskkHG,10271,9376
UfsihyBm,49829,37713
RDWWEMmX,77635,59769
qkUwNAFu,62224,82145
WarvXAeO,27301,21270
NoLZXxOk,81037,9009
vJLjscgZ,34706,11496
GkefOScQ,24240,59500
XpYbWFKM,1221,30326
ywahtpYi,13837,25589
NIEHraEc,23239,57310
fMjLKEDF,39323,74342
OjjKUWYs,58754,8817
zUgYXjvm,83723,23994
aLnARYiC,73437,27859
cEZJcuQa,64532,39992
DFTbYODf,10429,14562
LADetCuM,69798,38281
TCitCvgW,84641,47047
MPnncKWY,75008,67467
DjdIhcMu,14114,75779
ognaoQzB,27556,10395
BCXQyVvV,72960,74157
eFYyXwUh,61859,22102
bBiwEVXM,15865,83878
yxelBGej,49464,36380
qtLPEYdL,11148,52129
KOwpMgxc,83336,40086
ENRTRigs,36752,76920
hNekCEff,15901,59442
QXILhFQJ,64829,40137
lUJgsWyI,14579,16999
oYttRTav,7489,82608
zNOAKNyp,12762,89315
AoKIXmMe,12112,37171
wNQHtyUo,27521,54420
BCxXdkgI,37462,10643
EGwYXmGu,61949,73118
MFcwBnYh,87009,56980
ECaBUKWW,9555,57414
gzryxzcb,44348,54705
ETFyxnnv,76999,18780
TiUkBZYc,52503,72380
bsynagzZ,89424,5049
PWhHttiF,73369,52941
pgKRRafN,8425,78131
vRXLsflZ,13298,38682
vTHsIkTd,59612,42816
esoYsfhr,27357,13995
jChlefLH,87564,19161
cmCaiFTt,39590,53420
vYDQmPHv,84921,67288
vcByiWkQ,28243,77964
LAdawJjB,58622,32197
XruIdnXl,14288,12640
wtqcAQdn,69279,75239
ZvOPILZS,68088,40411
VHhBcswD,25523,81020
UFMyWTiI,16913,30141
viwkBOmV,16923,17505
dhtSduvf,64232,32828
PYBqGAlP,35204,30399
orNJUtvm,68033,77373
EcezPvVs,8455,30968
rXpjfFHB,85364,60231
gQKagEYg,9874,89605
oVgosHXU,2630,57086
bZQXOhey,35959,41911
zgmjVRkc,68356,77257
LmayciLb,87364,84085
aQiSSuNv,40767,85609
yCniqNbn,89302,72939
FMzUuxFY,5660,79706
pbkcIZVU,57371,77111
OEIbloux,35118,48797
BHHoKwQm,35345,36628
rqsbdWyO,33715,36869
FMSZYXPp,80066,17885
jcOtKwkU,75758,8234
sBzZgAIq,77323,43605
tkOxVozb,10674,17438
NgcRrHUY,15719,71164
xWXYnGAU,76120,52455
GMNoMFTB,21779,27948
JqZEIegJ,61937,52247
bOZqqzTn,35512,30269
zeWHxPhm,12320,78189
WWhipEID,32042,9062
olouOsFM,89754,4733
nWdumNEB,81214,12457
XtGPoMaV,56136,10146
ghYEZZtj,65941,13121
GxovLKTB,5070,87795
zSXIkfyD,15258,20611
nktGuyDX,56684,60764
nZUYLXDO,31244,59630
SqqCafpM,36740,53559
GMtLaHxn,32290,53060
RwqfMujG,87529,41315
MUpnhacD,42460,17016
CjGPCwNM,56922,66262
kPTFdHLc,35198,27815
TPvFQSYH,6625,29888
sGazdQDD,19375,53011
jmxjefxs,12763,23037
sijGIZKr,74505,8801
RCVrEbeU,15147,59030
SxQfuzmR,36481,20260
ygYqCmaL,6747,26769
bTYbdBTG,36801,28174
YQETwWRn,65978,46933
kdgnkvno,10304,12144
BGOYOylq,33848,20729
txoohRRS,64754,13723
pOjNelQw,38518,36393
MzdQXpSv,64211,53370
EQNBrgQH,77606,54031
XQfjOSmb,75971,33308
zfsraYNa,71194,23599
mkKEqJgH,69846,10015
OMYUVmMN,56169,31588
FTVsPQzp,10810,80227
QJDsFAoF,16723,55266
oQkCxUGH,4310,56629
qCLZiWjj,66401,42719
GGXqQfKD,80114,36463
CffTzRme,14926,19974
YeMkJtOX,89544,19880
OvfKVNoZ,15213,25925
PEHXUqtB,61893,35545
hgpvozan,74940,58031
rSVBFsqw,39100,45494
SChBLcIG,76525,13532
IoZDJATP,48091,52316
RCKfkmJG,89882,25982
WhfTkUNk,7255,66484
UJmyOZRv,63025,19806
HKPCFqfY,9253,35073
LERSweHx,77484,77469
ziIOvcIe,70580,74736
VkUtQbyU,79733,24915
oWucunmq,78251,21678
PWmxZuJO,15324,24102
XMaIXCqC,52303,39860
JhrjrckX,56205,28108
TysHVDXo,4846,14446
rpmcQQjg,56630,43854
dnAwbOml,21683,42413
XObUYZne,47692,21929
dGekfvUI,31079,63413
sjZYmmzs,78943,60566
wREcRfMi,20523,60151
HnlZovsu,81315,42039
kIjZKqEH,39491,51281
eamWebLO,17717,10459
GndmOISF,65358,20170
ZYMMtaBj,2698,25467
GJAYitsG,53819,15154
vmfHQjpe,41542,3710
ZIiBxesj,61906,21616
tSDfOYZi,58146,55907
bmeosucS,64034,12420
AqeAsdBD,86284,33000
HBxUkFVZ,19356,71667
qKfZYbPA,41602,57924
jDkVRfEr,34536,26958
yHqCHNWF,57742,60396
OMtAaeka,78424,9162
iOyrKshM,74530,12647
qpoHfiBy,62421,18980
bVztPScn,76459,62973
FyJgHEtK,85734,46069
yMNeWQhZ,7925,54433
IsyjoCOB,69362,81907
pmJzqBph,72176,71683
bnWhJLIc,45819,64813
wZmHhtQk,86529,68789
tDUcVUeb,2776,15965
RiHWQVLY,77747,37590
khZdqhCa,30841,25154
XzbSojrZ,6533,86989
yODAnbLA,43756,57367
kksrPxnn,75024,6366
hkjanhfr,87522,17512
DBQkynEC,88390,47621
VEGceRRx,18868,87800
OzEljZDJ,81196,56738
SgKbbQYY,21340,66305
vccpFkvk,85943,3704
lMmuhUEz,70181,10139
YNoDzArR,60803,13496
XRTodpOH,81655,89020
RNRoyBXH,44605,16593
LjULBCjd,54953,36157
ZATpYNav,54902,70453
GCXWQqSg,15253,76915
ABMUXLdB,4952,14006
OhBDujNF,39133,66346
xWjcGmrq,64953,32635
jUEzekWN,85220,46573
HzCQRItM,86078,72218
QSNUsxBe,79926,63259
HAaeYSfI,48155,38825
cYCgCDzi,5691,76051
jyhwCFAD,83610,59537
KrypMugJ,28102,47193
xAtgSPeO,50203,29168
hdZwcZLp,86968,25262
PDMMjyHO,19920,54535
NCOnOswy,73175,87726
ZQHOQsKW,46086,26728
TAAkgscF,30977,35574
gzscTNJg,68233,36472
GuDQxMIn,55672,30932
aEyUTTcQ,59967,31118
VThloxmh,80413,73433
htbenBZm,34467,1172
uBaXhhUn,48133,78832
mRHNNXRc,18581,48283
UtIBkgFD,60214,64921
JTzFFHtp,77486,33262
jxkpydnY,22006,5507
DGReFAMx,46081,71645
OaxxTrSw,89834,86292
vijvZTtw,62148,89366
XSGwDICG,12083,41230
QnVaEDIp,24987,89346
cWiFhnjA,4771,41351
zlMIjDEI,77575,82260
dyzgOnSF,32872,76275
johnNgXq,83990,4890
qytEeweT,1962,80430
wOYyQbKo,67827,35534
wciZEtDi,74955,30156
rGhANLNr,36939,54835
xBqBoelr,3661,35306
zBOLlfPt,17756,67668
NolHarNN,67592,13458
aKYkKasG,6842,67753
goQwUSiL,35927,51370
usGlsphi,69587,28300
xtZIMkhQ,67649,76658
RyuMbENl,64464,59059
rChWMXYf,37846,66841
SNzCIMRk,58048,45093
jkFrNFqO,80205,67200
BrcBXjBn,51149,77959
EJjmKuRG,1198,80309
seTZBhzC,2893,7037
bKmOLkJm,11529,39512
RRWanrmR,56692,63594
JWWGSisJ,32873,28876
LCYdyshe,60522,36552
exTJaObN,5824,85003
opVpsnpJ,63679,39750
gVbzdJvw,33653,62912
UiOSezJO,65302,75436
lCYPgYAo,67126,49739
ejZBjJWA,80601,20331
OtFiruWQ,58115,64507
uUTlHTrR,76164,89611
KdlqaPzA,1353,39756
iKpeTMyN,27970,55142
kqFDwAwk,13817,2606
xSGmGNRz,62296,49461
zGZpmzCY,49633,15388
KFkZEWiR,1149,73964
faVkhLMw,39352,34768
XVcozINR,37737,62571
nlINWrIB,38871,16230
LFsDavXU,72649,38710
GOONUJKK,55918,77698
weIsCbfR,68452,70775
PUIhGkvW,52656,72246
kUTllTfk,71827,25255
hkOiUSnh,2046,40952
PNyxehnj,56045,8287
RBCVuOqI,19550,15500
GwCAzUeu,39779,89542
bhtDtphj,76900,69543
KVZNKqJe,10283,65522
mOHOsYkr,67249,85420
FrDJWBLX,35389,6138
rOUMWWjX,3032,34192
RPWbiDaS,13914,70226
iuRGeQpJ,64127,11743
OpNzJuRu,48917,87569
pvXXVFuE,89241,78751
ThHUbutc,59058,68381
rULugikm,28457,14098
LROSWDXn,67745,5223
oXQXYFrr,65347,42329
pQmxvJwP,75004,20817
nXbQTmXo,38271,54006
GgUvJlOM,15607,8875
ZBfXCcZd,83862,84435
LZfJsTgq,70828,74338
RCatQwvU,9845,24623
kLHrbfKg,2254,55229
YsFPxdAG,13931,4580
lVQxiPhY,15092,63766
KMRmwOEs,12323,37127
BiGwfSjC,6297,1848
toKGPQtc,49596,57771
eAXvEcqE,47874,13177
yBmxlZYw,52570,49257
HEPPImcC,41237,1468
fcBVfFtz,50742,68774
bjzMLYWZ,8598,26605
eTKHXYtv,71493,11853
EszVRYdv,79749,89732
MwuIRYTu,38730,40032
gEMkjBpI,7268,14862
UfDncvul,47185,50364
QmkmULWf,75535,36851
mXMqoiDM,80804,56476
KZLinJFU,77431,40337
RmXWlOxm,48490,76360
otixqeow,48793,33073
oqSbHslg,1242,75128
rYpZmEwC,36706,59779
zjScBYgy,13100,27716
yUMMmZGU,49449,60843
INHYFVDs,26820,56061
upPLkzfk,70657,60001
uTPLcKhq,6560,83625
phkbkExY,28932,58565
cREkdjck,17019,49554
zxRdWGie,45245,47671
DVfyYuEO,29361,83413
xSLnlQcD,44264,33571
QfGzIELn,21915,64425
iiahkpxt,81238,24999
CCFdlIgv,66326,46196
KZRsohqa,36005,20188
eECFsKNw,60813,73886
QjwMHpvn,45440,65915
bkDaiQoW,29223,65280
vsGswxwV,78020,87769
fzSZKNse,76183,7777
RTGCvvhA,43953,79482
aDqgwOAU,57227,71944
INvrjRyq,59955,49188
AeqMCBZf,80039,61752
izJIRwxV,75106,59468
ExAIIfly,19433,1136
HRtLbXRv,39677,36230
TtrGtWdb,3125,51156
GzMtSbcj,89723,73326
BFhDIwNF,43148,89859
dlevJmXB,66562,47055
WQVNjujz,55914,70039
qNaFWHDX,58918,55113
smcComHi,68767,84814
iThJosNq,84300,4534
OyxQvNSv,59075,67559
IgdKuKGw,76587,50087
yMuLiyWh,42817,72850
rfhBbIkw,89978,83926
kYZpwXjh,50182,46638
UFcYZNKb,85923,31549
CCllyJOn,22400,3898
vCGSiUed,19464,51254
NrlrmsMp,42350,66431
tAAASPvm,89186,36246
yaKwPskJ,72557,88272
yEktfdJE,76354,63991
DqbQVYku,89043,34243
NHOOhXjC,17687,81102
ZQJBhbHG,58172,85801
vkuzHvsD,77777,32181
WYBVFLnI,70079,5351
oizHXZVp,17466,83152
QPTFCkjD,15060,38222
DRbzkoCc,1320,64705
EysSihJp,18150,51085
tLbWZrRQ,34063,65644
AsHWCLEC,89681,39767
IsQAkOug,26490,62290
XrxVZpny,28351,67770
owZpUxMs,7139,69431
BKHwdOeO,85995,23172
hZgwYKdz,27660,22391
uzFuxavy,71115,35617
qDYivNYW,25769,74439
yyVIpeJo,13409,70592
OzjFYEFt,58513,78582
zcLuYahx,22809,37923
PXrkekXC,45024,66631
cIFqVjUM,45754,60933
SALNbGCz,28177,82605
rWZsnPYR,19850,31873
IphlQzrL,60007,86541
dFuCoivh,27363,48650
qMWxPokl,87119,45844
ByvZrxWX,55434,39252
oEOpKhIh,34564,39209
OAfaEpYE,66445,61625
DEPmIGGz,34880,33157
UJQfBhsD,56644,9239
dznMmUIN,85957,74382
llkZFQDv,63626,26441
rIATAeBK,36949,10540
SHDvFRjI,41997,39491
ayWcRhXX,47554,38043
wSZnrYVl,42534,62965
scahDQyC,58982,58794
YKWtaTQV,32820,62396
yCSOAnEK,19586,64786
whRIeAdZ,24268,44629
HXhCgDSV,10213,47345
yIQluliE,7275,71987
Jpelkxsd,65745,84739
yxnixXJU,58001,16863
AjCitBai,70045,30425
MLkgVejI,18126,36945
HQSYHrOq,57936,74513
bXJeDrhv,70237,71217
wQSDIIBZ,55490,16992
nrzLsaDN,35796,85656
wnrccbAS,7789,53370
TAFXLJcJ,16827,73311
vhNzTWCv,34107,81234
UBgqVNCo,67122,52536
rwBqYUUb,81486,31493
wqnqEDNM,87942,72381
RrdNSgBB,82710,43995
MVDYxASM,66206,22990
kiSrPnAo,87760,58304
gbVvdKkr,41913,40691
CopqAKKr,14119,26417
EDHrNpkb,57543,15635
dTcxDJaf,87942,2750
NOyfvcrJ,51138,51580
GIHaJfGJ,19609,38660
zBiFUXmA,67639,17351
SFkOqVSM,41918,16488
cUILTdgZ,71533,36043
nWdyBHWS,25038,74444
ItxLgWUH,24056,63501
IiZffTTh,29971,53763
JhvWSEzy,71212,66833
WeqozZMD,69099,73043
HaGPpgzd,18713,12613
XIxGAIPM,34041,4958
VXORunEL,45898,15843
MaBWbLth,54878,2382
ShJeAhjD,55332,17290
FhgjXyqR,49824,84724
avGDvgDp,11267,11957
cRXzwuBN,47191,57770
XUfThEpa,75236,58476
jaXmnuxu,87074,58212
YLbYBcZv,28061,57592
KOEcdpsC,55638,71892
RGYoTVgX,88539,11044
szlhPBWI,48049,52142
AtSKjSkA,8431,68790
KpRhYBPF,79432,65600
KjhEoIrg,83967,86739
dYmOTmOu,15917,82781
pdcHyCqC,36084,71418
ywzjVRGI,8101,4217
qdEvJPrp,27107,50996
RQARZZUi,14685,52618
ZijZkSUK,34541,89923
cTCHiPyD,77947,21856
gUIKIbtx,25685,68650
sNLGHpwS,86976,4835
uDlAcAEz,1416,37329
OXszOMAf,40243,26291
wKYBNYvC,29249,20080
thAvdjUi,3761,35070
yAoodMKB,89246,42580
JFPMCGhj,55880,15533
GsQavUmE,64609,75600
yvJofVLJ,48554,26409
wCyzhWuz,58504,85094
JdHcregH,38291,58026
ywtIXfUu,36665,80938
qqusWkyh,80565,7701
dLZiEiMf,64868,7405
KiBUbizt,5368,33407
RvHATzFc,56710,6622
OywfmpBd,67881,74840
mfvnQvpC,23470,48537
GYvJJQMT,83943,55864
wGYdgWrH,37267,59259
tFpgjukD,39146,59456
oWVwPgMc,78048,52306
cNSKyHGW,3115,19584
ipwXvYNU,43647,2656
rnElNHfj,74165,25789
yQCBVNle,20316,45726
TJgDbJRT,4419,80741
sCUTUFed,55255,52969
unQTJmbC,42864,88127
KNErRNDU,27894,45957
GNuQRoYD,79543,58748
QpiyOmhn,69850,13120
ylIrJhqO,88567,51582
kDzPTCsS,52240,46443
JhMgbgpJ,56529,9192
StHsSAOS,31559,60562
EesUtrEj,29112,31146
OTkpGHIe,87350,42294
BbBuyHuJ,33051,43029
OkcqUBmv,71456,71318
rIFUDnhn,81901,8721
UkLDhDpA,89202,38774
gbWTZtOY,81302,4692
hEYkTmPS,49518,29531
KIGbejro,38391,57977
ZzPLaizB,3683,57850
RyfFSHuS,81850,10830
LSrTdMji,60530,37490
QGIgYPiC,74477,50471
JIerwZVu,69360,28390
lghkwsCG,53357,42833
YsvXPPBq,20202,16388
adFgQzsL,74412,69424
YGyTvTyj,53550,87078
EMAoPQgn,68493,23549
uWSfLojl,6525,45065
BnbvtExK,81401,29648
durvkiKJ,11445,39661
MLSmETMK,79565,78149
vYuJVtEj,50224,47144
CoAFSwPO,85177,50205
AMkcAKYm,87672,30175
tKZWcjfR,41874,40279
JCptYKNx,69567,62605
yMwXFJGD,40094,24704
zeBwcEDb,16901,60067
tNEjsOkE,58533,80750
zNPSwXsj,87234,49897
TKAmVHDz,80923,62711
nrqRQNnd,17381,39826
AQeYzKSk,83553,16627
iFwlTwRs,19129,51194
PpLrPDke,81179,85468
ydaPofBr,84638,67834
feTpvAiN,33868,31655
OxkMefVf,80758,17555
mcWfyNZD,49402,46121
thPdQhsF,12037,41303
rxADqGKU,87017,23992
ZOSmSsCx,27884,55262
QwZxuwDJ,68588,74958
lyBrtfyk,45443,34479
xHOetIrM,57880,22871
VWtsMmfE,15461,53496
npcvmwOj,22123,88176
teZSDFPQ,13114,66593
FHhOCphe,72657,37040
mBCjNNrL,70877,58058
ipelzVyx,3455,89652
NxeySHxf,34133,4936
RpvYEGXb,38126,36987
riVBuUOI,60281,7901
VadeSKAy,41974,76932
ONSwsEOu,35521,87060
aIXLBRDd,34669,70753
CwnVdgSw,5365,84589
DoEkRnJd,82358,73101
hloDmSzl,43370,76470
LxUNYfKd,48261,44206
ktbfdsEe,72075,4343
qHQFifAn,8234,4357
iqeHbNtz,43840,48272
AWUbfnsd,26139,18484
jAVxMYVZ,54522,82914
YBDYuFJE,26262,52111
WaqDhnqb,67024,48486
ieMCyeWC,19862,61536
EmfxUxAH,71438,52416
ZqLJKMcF,51753,62272
XGAoNhgk,75874,22096
wDfHHrJB,3745,64005
CuSQaGDV,58868,22709
JNpGsTGl,39201,28705
IwquhaMf,84692,64695
SjRknDHO,15392,38104
ZhjmnWLY,41538,7665
MTXlLZZL,34692,71261
qPPoGJpC,33748,74338
jpOBOaYv,43521,88448
xuQAlioj,57652,84968
YORDXISb,51989,3227
vazKtvId,23601,20549
fVONEbBH,56429,73903
BEykuTHl,20061,15607
dkNGZsQB,75718,85770
oBdZfwYf,16098,33316
lOwtEpcW,44760,49208
wryqLxQI,7094,3074
AiokZOfl,68084,8255
LDkxoDPq,32912,46936
LxeCuMET,79221,81701
qCWoEHdr,18073,67050
NcLWVZec,27495,16285
IEJDRkkC,3730,15502
JHCrAhdC,20205,45628
NYItnQWW,78031,22665
qnvPNiCh,49507,68213
EjEUtOIj,42471,37756
KZDvGhYY,63713,6371
QAFixsTU,9122,30912
YyWmRcsT,28061,21507
ScFZGHmC,64440,14927
ajFVLUYx,87031,88759
ORdDqBJm,31158,86249
RxNtyDtl,64033,67365
CAeIHHml,43635,61687
KqlKojPX,83295,12184
WNkFfJjs,75480,59667
lfCxeWZb,42883,44809
bKGyVWYZ,3394,16672
eNsaSVAP,68684,52279
kdeQzOXj,64933,82277
sZEtDnZA,80157,41514
vtALPRIF,79344,42286
KVWAbHza,3797,24538
XOWhgGDy,46873,64872
GEiqOPTA,42387,2491
pGtxoElU,86933,34645
tLXyToQW,67426,19600
qhkZiDHf,72540,19177
PCIBrmTe,45218,89332
YBptpPyQ,11018,82082
EoTLNQQg,40207,11357
mkRrHnUu,13717,26950
FArySRrk,68738,44457
UtWySdDY,62048,88060
oHwStaRw,19937,55149
IHBlyPWQ,57014,84720
SAyMUJpr,17611,83059
bZyuRCpJ,84386,13582
rlqCNuRd,65408,80743
lxwWOpBi,45713,60850
LHMEPJEo,74795,47592
MzMPyCBx,11380,30080
KSGttzsc,18407,69190
fwmLgxJf,43282,38115
ITKZgujG,75264,68365
azmiyfXN,86665,84264
FWDHMhXe,88460,45908
xigrYUhL,73608,8954
YloyYnLc,6089,39778
lrGAiMAK,76841,19543
iJkchFDN,58796,22096
WEjkeAyT,5438,2513
SReZpeWo,15095,55256
MaTcTCty,65288,28249
IXYbRmHw,33286,3439
AJpkrBUO,22461,70362
JMILzBmX,60486,18648
CTQBKCYu,87980,23224
gymaqWkI,65167,89599
FaXSddpW,3650,57479
HnpyfvPT,20273,56831
CrxLTszA,32300,34938
uvAZrAom,52743,67206
UuyoWiEX,11801,12794
hyzKxUrv,20113,47485
MUANqmQW,6122,51846
dVdSLybj,42594,27890
ViIGUCGy,63967,53823
VfobKYHb,48853,3824
WBxMYZOG,39852,73811
HdUWTZns,70966,35328
OuUWpFej,85588,74874
hRVmesVq,37238,84790
gIxZdZJF,67342,79423
WkSQPLeh,20292,12256
